Filename PupX PupY PupR PupQ IriX IriY IriR IriQ PuEX PuEY PuEA PuEB PuET PuEQ IrEX IrEY IrEA IrEB IrET IrEQ OPrUpA OPrUpX OPrUpY OPrUpQ 
2008(r-1-3)110707-115400_e_00_0000.bmp 317 243 57 97 315 243 124 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 315 152 51 
2008(r-1-3)110707-115400_e_00_0001.bmp 319 242 42 96 320 242 107 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 321 158 50 
2008(r-1-3)110707-115400_e_00_0002.bmp 319 242 41 100 320 242 106 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 320 171 47 
2008(r-1-3)110707-115400_e_00_0003.bmp 319 243 40 100 320 243 105 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 321 172 48 
2008(r-1-3)110707-115400_e_01_0000.bmp 319 243 58 84 319 243 119 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 303 153 42 
2008(r-1-3)110707-115400_e_01_0001.bmp 318 242 46 100 319 242 105 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 309 161 41 
2008(r-1-3)110707-115400_e_01_0002.bmp 320 243 45 100 322 243 104 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 296 172 43 
2008(r-1-3)110707-115400_e_01_0003.bmp 320 243 45 100 321 243 104 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 295 172 42 
2027(r-1-3)110707-115400_e_00_0000.bmp 320 240 52 69 317 240 109 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 310 171 28 
2027(r-1-3)110707-115400_e_00_0001.bmp 319 245 60 87 316 245 123 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 300 148 31 
2027(r-1-3)110707-115400_e_00_0002.bmp 319 242 69 81 316 242 129 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 300 135 38 
2027(r-1-3)110707-115400_e_00_0003.bmp 317 243 59 65 314 243 126 100 0 0 0 0 0 0 0 0 0 0 0 0 3146 314 142 31 
2027(r-1-3)110707-115400_e_00_0004.bmp 319 242 69 64 316 242 118 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 299 149 32 
2027(r-1-3)110707-115400_e_00_0005.bmp 321 242 68 68 318 242 120 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 301 146 39 
2027(r-1-3)110707-115400_e_00_0006.bmp 318 239 69 59 315 239 123 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 334 135 23 
2027(r-1-3)110707-115400_e_00_0007.bmp 317 242 70 69 313 242 125 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 306 146 36 
2027(r-1-3)110707-115400_e_00_0008.bmp 322 244 69 51 319 244 127 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 268 186 27 
2027(r-1-3)110707-115400_e_00_0009.bmp 320 242 68 67 316 242 127 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 309 142 29 
2027(r-1-3)110707-115400_e_01_0000.bmp 319 243 55 66 324 243 109 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 317 167 33 
2027(r-1-3)110707-115400_e_01_0001.bmp 321 242 63 68 325 242 125 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 326 148 51 
2027(r-1-3)110707-115400_e_01_0002.bmp 320 243 67 69 324 243 128 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 143 46 
2027(r-1-3)110707-115400_e_01_0003.bmp 319 243 69 66 324 243 129 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 325 146 55 
2027(r-1-3)110707-115400_e_01_0004.bmp 320 243 70 67 325 243 121 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 318 158 39 
2027(r-1-3)110707-115400_e_01_0005.bmp 320 244 70 70 324 244 122 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 159 49 
2027(r-1-3)110707-115400_e_01_0006.bmp 320 244 70 56 323 244 124 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 323 162 44 
2027(r-1-3)110707-115400_e_01_0007.bmp 318 243 69 65 324 243 124 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 324 160 49 
2027(r-1-3)110707-115400_e_01_0008.bmp 319 242 73 67 323 242 127 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 333 146 41 
2027(r-1-3)110707-115400_e_01_0009.bmp 320 242 74 56 323 242 129 100 0 0 0 0 0 0 0 0 0 0 0 0 2097 333 146 45 
2029(r-1-3)110707-115400_e_00_0000.bmp 325 242 41 85 321 242 102 100 0 0 0 0 0 0 0 0 0 0 0 0 1049 321 183 27 
